slug,title,brandLabel,category,subcategory,audience,variation,price,catalogStatus,isActive,hasImage,approved,notes
"pele-preparacao-da-pele-primer-facial","Primer facial","Fenty Beauty","Pele","Preparacao da Pele","beleza","78.90","0","draft","false","false","false",""
"pele-preparacao-da-pele-primer-matificante","Primer matificante","LancÃ´me","Pele","Preparacao da Pele","beleza","64.99","0","draft","false","false","false",""
"pele-preparacao-da-pele-primer-hidratante","Primer hidratante","DIOR","Pele","Preparacao da Pele","beleza","57.90","0","draft","false","false","false",""
"pele-preparacao-da-pele-bruma-hidratante","Bruma hidratante","MÂ·AÂ·C Cosmetics","Pele","Preparacao da Pele","beleza","61.90","0","draft","false","false","false",""
"pele-preparacao-da-pele-fixador-de-maquiagem","Fixador de maquiagem","avon","Pele","Preparacao da Pele","beleza","82.99","0","draft","false","false","false",""
"pele-preparacao-da-pele-protetor-solar-com-cor","Protetor solar com cor","Fenty Beauty","Pele","Preparacao da Pele","beleza","61.90","0","draft","false","false","false",""
"pele-bases-base-liquida","Base liquida","LancÃ´me","Pele","Bases","beleza","60.90","0","draft","false","false","false",""
"pele-bases-base-matte","Base matte","DIOR","Pele","Bases","beleza","67.90","0","draft","false","false","false",""
"pele-bases-base-glow","Base glow","MÂ·AÂ·C Cosmetics","Pele","Bases","beleza","87.90","0","draft","false","false","false",""
"pele-bases-base-em-bastao","Base em bastao","avon","Pele","Bases","beleza","54.90","0","draft","false","false","false",""
"pele-bases-base-compacta","Base compacta","Fenty Beauty","Pele","Bases","beleza","64.99","0","draft","false","false","false",""
"pele-bases-bb-cream","BB Cream","LancÃ´me","Pele","Bases","beleza","71.90","0","draft","false","false","false",""
"pele-corretivos-corretivo-liquido","Corretivo liquido","DIOR","Pele","Corretivos","beleza","71.90","0","draft","false","false","false",""
"pele-corretivos-corretivo-cremoso","Corretivo cremoso","MÂ·AÂ·C Cosmetics","Pele","Corretivos","beleza","85.99","0","draft","false","false","false",""
"pele-corretivos-corretivo-em-bastao","Corretivo em bastao","avon","Pele","Corretivos","beleza","77.90","0","draft","false","false","false",""
"pele-corretivos-corretivo-colorido","Corretivo colorido","Fenty Beauty","Pele","Corretivos","beleza","74.90","0","draft","false","false","false",""
"pele-corretivos-paleta-de-corretivos","Paleta de corretivos","LancÃ´me","Pele","Corretivos","beleza","70.99","0","draft","false","false","false",""
"pele-corretivos-corretivo-alta-cobertura","Corretivo alta cobertura","DIOR","Pele","Corretivos","beleza","72.99","0","draft","false","false","false",""
"pele-pos-faciais-po-compacto","Po compacto","MÂ·AÂ·C Cosmetics","Pele","Pos Faciais","beleza","54.90","0","draft","false","false","false",""
"pele-pos-faciais-po-solto","Po solto","avon","Pele","Pos Faciais","beleza","73.99","0","draft","false","false","false",""
"pele-pos-faciais-po-translucido","Po translucido","Fenty Beauty","Pele","Pos Faciais","beleza","85.90","0","draft","false","false","false",""
"pele-pos-faciais-po-banana","Po banana","LancÃ´me","Pele","Pos Faciais","beleza","57.99","0","draft","false","false","false",""
"pele-pos-faciais-po-matificante","Po matificante","DIOR","Pele","Pos Faciais","beleza","83.99","0","draft","false","false","false",""
"pele-pos-faciais-po-finalizador","Po finalizador","MÂ·AÂ·C Cosmetics","Pele","Pos Faciais","beleza","80.99","0","draft","false","false","false",""
"pele-contorno-e-bronzer-contorno-em-po","Contorno em po","avon","Pele","Contorno e Bronzer","beleza","83.99","0","draft","false","false","false",""
"pele-contorno-e-bronzer-contorno-cremoso","Contorno cremoso","Fenty Beauty","Pele","Contorno e Bronzer","beleza","61.99","0","draft","false","false","false",""
"pele-contorno-e-bronzer-contorno-em-bastao","Contorno em bastao","LancÃ´me","Pele","Contorno e Bronzer","beleza","85.90","0","draft","false","false","false",""
"pele-contorno-e-bronzer-paleta-de-contorno","Paleta de contorno","DIOR","Pele","Contorno e Bronzer","beleza","81.90","0","draft","false","false","false",""
"pele-contorno-e-bronzer-bronzer-em-po","Bronzer em po","MÂ·AÂ·C Cosmetics","Pele","Contorno e Bronzer","beleza","86.99","0","draft","false","false","false",""
"pele-contorno-e-bronzer-bronzer-cremoso","Bronzer cremoso","avon","Pele","Contorno e Bronzer","beleza","50.99","0","draft","false","false","false",""
"pele-blush-blush-em-po","Blush em po","Fenty Beauty","Pele","Blush","beleza","76.90","0","draft","false","false","false",""
"pele-blush-blush-liquido","Blush liquido","LancÃ´me","Pele","Blush","beleza","66.99","0","draft","false","false","false",""
"pele-blush-blush-cremoso","Blush cremoso","DIOR","Pele","Blush","beleza","61.90","0","draft","false","false","false",""
"pele-blush-blush-em-bastao","Blush em bastao","MÂ·AÂ·C Cosmetics","Pele","Blush","beleza","58.99","0","draft","false","false","false",""
"pele-blush-paleta-de-blush","Paleta de blush","avon","Pele","Blush","beleza","81.99","0","draft","false","false","false",""
"pele-blush-blush-compacto","Blush compacto","Fenty Beauty","Pele","Blush","beleza","65.90","0","draft","false","false","false",""
"pele-iluminador-iluminador-em-po","Iluminador em po","LancÃ´me","Pele","Iluminador","beleza","73.90","0","draft","false","false","false",""
"pele-iluminador-iluminador-liquido","Iluminador liquido","DIOR","Pele","Iluminador","beleza","55.99","0","draft","false","false","false",""
"pele-iluminador-iluminador-cremoso","Iluminador cremoso","MÂ·AÂ·C Cosmetics","Pele","Iluminador","beleza","73.90","0","draft","false","false","false",""
"pele-iluminador-iluminador-em-bastao","Iluminador em bastao","avon","Pele","Iluminador","beleza","84.99","0","draft","false","false","false",""
"pele-iluminador-paleta-de-iluminador","Paleta de iluminador","Fenty Beauty","Pele","Iluminador","beleza","54.99","0","draft","false","false","false",""
"pele-iluminador-iluminador-corporal","Iluminador corporal","LancÃ´me","Pele","Iluminador","beleza","79.90","0","draft","false","false","false",""
"olhos-sombras-paleta-de-sombras","Paleta de sombras","avon","Olhos","Sombras","beleza","56.90","0","draft","false","false","false",""
"olhos-sombras-sombra-unitaria","Sombra unitaria","Fenty Beauty","Olhos","Sombras","beleza","66.99","0","draft","false","false","false",""
"olhos-sombras-sombra-liquida","Sombra liquida","LancÃ´me","Olhos","Sombras","beleza","68.99","0","draft","false","false","false",""
"olhos-sombras-sombra-cremosa","Sombra cremosa","MÂ·AÂ·C Cosmetics","Olhos","Sombras","beleza","49.90","0","draft","false","false","false",""
