slug,title,brandLabel,category,subcategory,audience,variation,price,catalogStatus,isActive,hasImage,approved,notes
"pele-preparacao-da-pele-primer-facial","Primer facial","Fenty Beauty","Pele","Preparacao da Pele","feminino","78.90","0","draft","false","false","false",""
"pele-preparacao-da-pele-primer-matificante","Primer matificante","Lancôme","Pele","Preparacao da Pele","feminino","64.99","0","draft","false","false","false",""
"pele-preparacao-da-pele-primer-hidratante","Primer hidratante","DIOR","Pele","Preparacao da Pele","feminino","57.90","0","draft","false","false","false",""
"pele-preparacao-da-pele-bruma-hidratante","Bruma hidratante","M·A·C Cosmetics","Pele","Preparacao da Pele","feminino","61.90","0","draft","false","false","false",""
"pele-preparacao-da-pele-fixador-de-maquiagem","Fixador de maquiagem","avon","Pele","Preparacao da Pele","feminino","82.99","0","draft","false","false","false",""
"pele-preparacao-da-pele-protetor-solar-com-cor","Protetor solar com cor","Fenty Beauty","Pele","Preparacao da Pele","feminino","61.90","0","draft","false","false","false",""
"pele-bases-base-liquida","Base liquida","Lancôme","Pele","Bases","feminino","60.90","0","draft","false","false","false",""
"pele-bases-base-matte","Base matte","DIOR","Pele","Bases","feminino","67.90","0","draft","false","false","false",""
"pele-bases-base-glow","Base glow","M·A·C Cosmetics","Pele","Bases","feminino","87.90","0","draft","false","false","false",""
"pele-bases-base-em-bastao","Base em bastao","avon","Pele","Bases","feminino","54.90","0","draft","false","false","false",""
"pele-bases-base-compacta","Base compacta","Fenty Beauty","Pele","Bases","feminino","64.99","0","draft","false","false","false",""
"pele-bases-bb-cream","BB Cream","Lancôme","Pele","Bases","feminino","71.90","0","draft","false","false","false",""
"pele-corretivos-corretivo-liquido","Corretivo liquido","DIOR","Pele","Corretivos","feminino","71.90","0","draft","false","false","false",""
"pele-corretivos-corretivo-cremoso","Corretivo cremoso","M·A·C Cosmetics","Pele","Corretivos","feminino","85.99","0","draft","false","false","false",""
"pele-corretivos-corretivo-em-bastao","Corretivo em bastao","avon","Pele","Corretivos","feminino","77.90","0","draft","false","false","false",""
"pele-corretivos-corretivo-colorido","Corretivo colorido","Fenty Beauty","Pele","Corretivos","feminino","74.90","0","draft","false","false","false",""
"pele-corretivos-paleta-de-corretivos","Paleta de corretivos","Lancôme","Pele","Corretivos","feminino","70.99","0","draft","false","false","false",""
"pele-corretivos-corretivo-alta-cobertura","Corretivo alta cobertura","DIOR","Pele","Corretivos","feminino","72.99","0","draft","false","false","false",""
"pele-pos-faciais-po-compacto","Po compacto","M·A·C Cosmetics","Pele","Pos Faciais","feminino","54.90","0","draft","false","false","false",""
"pele-pos-faciais-po-solto","Po solto","avon","Pele","Pos Faciais","feminino","73.99","0","draft","false","false","false",""
"pele-pos-faciais-po-translucido","Po translucido","Fenty Beauty","Pele","Pos Faciais","feminino","85.90","0","draft","false","false","false",""
"pele-pos-faciais-po-banana","Po banana","Lancôme","Pele","Pos Faciais","feminino","57.99","0","draft","false","false","false",""
"pele-pos-faciais-po-matificante","Po matificante","DIOR","Pele","Pos Faciais","feminino","83.99","0","draft","false","false","false",""
"pele-pos-faciais-po-finalizador","Po finalizador","M·A·C Cosmetics","Pele","Pos Faciais","feminino","80.99","0","draft","false","false","false",""
